ID,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"Are you eager to roll up your sleeves and harness data to drive policy change? Do you enjoy sifting through complex datasets to illuminate trends and insights? Do you see yourself working for a values-driven organization with a vision to tackle the most pressing injustices of our day?

We are looking to hire a bright, hard-working, and creative individual with strong data management skills and a demonstrated commitment to immigrant's rights. The Data Analyst will assist with analysis and reporting needs for Veras Center on Immigration and Justice (CIJ), working across its current projects and future Vera initiatives.

Who we are:

Founded in 1961, The Vera Institute is an independent, non-partisan, nonprofit organization that combines expertise in research, technical assistance, and demonstration projects to assist leaders in government and civil society examine justice policy and practice, and improve the systems people rely on for justice and safety.
We study problems that impede human dignity and justice.
We pilot solutions that are at once transformative and achievable.
We engage diverse communities in informed debate.
And we harness the power of evidence to drive effective policy and practice
What were doing:

We are helping to build a movementamong government leaders, advocates, and the immigration legal services communitytowards universal legal representation for immigrants facing deportation. In the face of stepped-up immigration enforcement, millions of non-citizens are at risk of extended detention and permanent separation from their families and communities. Veras Center on Immigration and Justice (CIJ) partners with government, non-profit partners, and communities to improve government systems that affect immigrants and their families. CIJ administers several nationwide legal services programs for immigrants facing deportation, develops and implements pilot programs, provides technical assistance, and conducts independent research and evaluation.

Thats where you come in:
The Data Analyst will support the Centers programmatic efforts through regular monitoring and reporting of federal government and subcontractor data. CIJ manages several proprietary databases that run on AWS and Caspio and uses SQL, R, and Python to manage data. This is an opportunity to help shape an innovative national research and policy agenda as part of a dedicated team of experts working to improve access to justice for non-citizens.

Vera seeks to hire a Data Analyst to work on various data management projects with its Center on Immigration and Justice (CIJ). In collaboration with other Data Analysts, this position will involve work across several projects, such as the Unaccompanied Childrens Program (UCP), a program to increase legal representation for immigrant children facing deportation without a parent or legal guardian. The position may cover additional duties for the Legal Orientation Program for Custodians (LOPC), which educates the custodians of unaccompanied children about their rights and the immigration court process.

About the role:

As a Data Analyst, you will report to a member of the research team and work in close collaboration with other Vera staff on ongoing database management, monitoring, reporting, and analysis projects. Youll support the team by taking ownership of ongoing monitoring and reporting tasks involving large data sets. Other principal responsibilities will include:
Supporting research staff by preparing large datasets for analysis, including merging, cleaning, and recoding data;
Providing insights into program performance through summary statistics and performance indicators;
Producing timely reports on Vera projects for team members and stakeholders;
Improving recurring reporting processes by optimizing code and producing subsequent documentation;
Coordinating database management tasks such as participating in new database design, modifying existing databases, and communicating with outside engineers and subcontractors;
Developing codebooks and delivering user trainings through webinars and database guides;
Building and maintaining interactive dashboards;
Documenting and correcting data quality issues;
Working with supervisors to prioritize program needs;
Assisting on other projects and tasks as assigned.
About you:

Youre committed to improving issues affecting immigrants in the United States. Applicants with personal experiences with the immigration system are especially encouraged to apply.

Youre just getting started in your career and have 1 2 years of professional or internship experience working with large datasets and preparing data for analysis.

You have a real enthusiasm for working with data.

You are comfortable writing queries in SQL, R, and/or Python, or have a solid foundation coding in other programming languages used to manipulate data. Experience working collaboratively using tools like Git/GitHub is a plus.

You have exceptional attention to detail, strong problem-solving ability and logical reasoning skills, and the ability to detect anomalies in data.

Youre able to work on multiple projects effectively and efficiently, both independently and collaboratively with a team.

This position involves working with secure data that may require government security clearance. That clearance is restricted to U.S. citizens and citizens of countries that are party to collective defense agreements with the U.S. The list of those countries is detailed on this webpage. An additional requirement of that clearance is residence in the United States for at least three of the last five years.

How to apply:

Please submit cover letter and resume. Applications will be considered on a rolling basis until position is filled. Online submission in PDF format is preferred. Applications with no cover letter attached will not be considered. The cover letter should address your interest in CIJ and this position.

However, if necessary, materials may be mailed or faxed to

ATTN: Human Resources / CIJ Data Analyst Recruitment

Vera Institute of Justice

34 35th St, Suite 4-2A

Brooklyn, NY 11232

Fax: (212) 941-9407

Please use only one method (online, mail or fax) of submission.

No phone calls, please. Only applicants selected for interviews will be contacted.

Vera is an equal opportunity/affirmative action employer. All qualified applicants will be considered for employment without unlawful discrimination based on race, color, creed, national origin, sex, age, disability, marital status, sexual orientation, military status, prior record of arrest or conviction, citizenship status, current employment status, or caregiver status.

Vera works to advance justice, particularly racial justice, in an increasingly multicultural country and globally connected world. We value diverse experiences, including with regard to educational background and justice system contact, and depend on a diverse staff to carry out our mission.

For more information about Vera and CIJs work, please visit www.vera.org.

Powered by JazzHR",3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE
11,Data Analyst,$37K-$66K (Glassdoor est.),"BulbHead is currently seeking a Data Analyst to join our team!

About:

Have you ever laid in bed late at night, couldnt sleep, turned on the TV, and gotten sucked in by an infomercial? Well, we promise, you are far from alone. Founded over 30 years ago, Telebrands is the original creator of the As Seen on TV logo and category of trade, and remains an industry-leading titan today. Our company sells consumer products, typically household goods, both direct-to-consumer and through mass retail chains, and these items can be found in over 50,000 locations nationwide. You may be familiar with some of our products and you may even have some at home, including Ped Egg, Star Shower, Pocket Hose, Red Copper Cookware, Atomic Beam Lights, and many more. Hit after hit, year after year, there is always a project to be excited about at our company.

Job Summary:

The Data and Insights Analyst will have a deep sense of curiosity, and will have the talent to turn passion for data into tools and insights to help efficiently drive growth. The analyst will work closely and collaborate with cross-functional teams, using sophisticated analytics to conduct experiments, produce analytical tools, make strategic recommendations and decisions, support customer-facing materials, and facilitate internal projects. This individual will lead and spearhead data-driven decision-making and will jump at the opportunity to use a variety of data sources to answer difficult questions. This person will take responsibility for the Data Architecture of multiple data sets, and should be familiar with building predictive models. The ideal candidate is a self-starter who is solutions-oriented, thrives under pressure, enjoys fast-paced work and is motivated by success. This is a great opportunity to leverage strong analytical skills and creative problem-solving to support and optimize product development, marketing, forecasting, and operations.

Benefits:
People. Work in a family-run company with skilled, committed, and supportive teammates who share your desire to optimize results, and have a commitment to diversity, equity, and inclusion
Excellent medical, dental and vision benefits
A commitment to a collaborative work environment, including a vacation policy that requires team members take vacation
401k
Competitive and flexible compensation package
Responsibilities:
Participating in and leading all phases of analytic work: from problem definition to representation of results
Collaborating with the executive team to understand the analytical needs of our multichannel operations, and developing data-driven insights that are both strategic and operational
Formulating and championing insights on specific business tactics (such as inventory forecasting, analysis of marketing campaign impact, etc.), and driving those insights into action
Creating and implementing visualization tools
Leading design, QA, and analysis of A/B tests, and contributing to strategic decisions based on results
Qualifications:
1 + years SQL experience (Preferred)
1 + years Python experience (Preferred)
Bachelor's (Required)
Major in STEM (Preferred)
2 + years of data analytics experience, including 2-4 years of hands-on experience analyzing large and unstructured data sets centered in marketing operations, attribution, and predictive modeling
Excellent analytical reasoning, quantitative, and problem-solving skills, with the ability to come to rigorous and defensible solutions to complex and open-ended problems: Proven advanced Excel skills, experience designing new or creative analyses
Strong communication and presentation skills written, visual, and verbal
The ability to address multiple priorities in an extremely fast-paced environment
Collaboration and service mentality: Experience working day-to-day with cross-functional teams (marketing, sales, product development, operations)
Storytelling: Experience interpreting data, drawing key conclusions, and turning data sets into easily digestible, potentially customer-facing materials (slides, graphics)
Degree in an analytical field such as economics, stats/mathematics, or computer science, engineering
Ability to write and execute complex SQL queries using multiple joins and window functions, along with other scripting languages (Python, R)
Experience with visualization tools like Tableau, Chartio or Looker
Familiarity with Google BigQuery or other big data environments
Experience applying statistics to business problems
Passion for applying advanced technology and analytics to solve business problems
Ideal candidates will be familiar with pulling data from third party sources including Facebook, Google, Instagram, and other networks combined with internal databases
We are an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status. We are committed to championing the inclusion of underrepresented employees. Inclusion is a team effort, and every team member is expected to participate in building a welcoming and

Indeed Hire and BulbHead are working together to find the best candidate for this job.

__
*

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Experience:
data analytics: 2 years (Required)
SQL: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Required)
Job distance:
Fairfield, NJ: Between 31 and 40 miles (Preferred)",-1.0,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Investment Advisory Compliance Opportunity in Financial Services

IA Data Analyst

Location: 10 Exchange Place, Jersey City, NJ 07302

INTERNAL APPLICANTS: All qualified internal applicants, irrespective of location, will be considered for all internally posted roles at this time. Compensation range displayed in internal postings is the national average, and compensation decisions will be employee-location based.

Summary:

The Investment Advisory Data Analyst works within the Investment Advisory compliance department as a lead analyst supporting the RIA Deputy Chief Compliance Officer.

Responsibilities:
Forensic Testing Develop ad hoc reports to support forensic testing efforts as part of the annual review required by rule 206(4)-7. Forensic testing will be used to test for previously unidentified issues by:
Gaining additional insight form data or other information or evidence evaluated in new ways from current information sources, and in additional ways from new information sources
Determining whether currently undiscovered circumstances are in fact, present
Exploring uncertainties
Acting on ones instincts and with skepticism, as in asking questions of what if, what about or how do we know
Quality Assurance As an extension of forensic testing, perform quality assurance on integrity of data provided by IT directly to IA compliance, or operational functions where IA Compliance has oversight.
Support Regulatory Inquiries Provide support to regulatory affairs team on regulatory data requests for RIA entities.
Assists with special projects, including creating compliance reports based upon deficiencies and/or recommendations from regulatory inquiries.
Perform Monitoring & Surveillance over business processes and controls
All other duties as assigned
Education Requirements:
Bachelor's degree from a four-year college or university preferred, high school diploma (or equivalent) in combination with significant experience will be considered in lieu of degree. Minimum of high school diploma or equivalent is required.
Basic Requirements:
Two to five years of relevant work experience with a financial institution such as a broker/dealer, registered investment adviser, regulatory agency, or other financial institution.
Proficiency in MS Office and various other business applications
Strong written and verbal communication skills
Ability to operate effectively as part of a project team or individually
Preferred Requirements:
Experience in MS SQL Server, VBA, and Excel macros preferred
Equal Opportunity Employer

Advisor Group is an equal opportunity employer. We celebrate diversity in our workplace and we hire the most qualified candidates without regard for age, ethnicity, gender, gender identity or expression, language differences, nationality or national origin, family or marital status, physical, mental, and developmental abilities (or the perception of a disability), genetic information, race, religion or belief, sexual orientation, skin color, social or economic class, education, work and behavioral styles, political affiliation, military service, caste, or any other characteristic protected by law.

Eligibility

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Advisor Group.

Unqualified Applications

Advisor Group does not consider applications from candidates who do not meet the minimum qualifications stated in the job posting.

Recruiting Agencies

Advisor Group only accepts candidates from contracted recruiting firms and only for searches approved prior to submissions. Fees will not be paid for unsolicited submissions.",3.4,"Advisor Group
3.4","Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1
30,Data Analyst,$46K-$87K (Glassdoor est.),"Our Mission

Move people.

Our Values

We are independent. Creative. Gutsy. We aren’t afraid to dream big. We are accountable. To our customers. To our cities. To each other. We are humble. Human. Lighthearted. We take our work seriously, but not ourselves.

Mobility is the lifeblood of urban environments and cities need affordable, emissions-free transportation options that are free of delays. We believe that shared electric mopeds will become an integral part of transit networks, filling gaps not served by bike share, car share, scooter share, or public transit.

About the role

We’re looking for a data scientist who can quickly and easily learn their way around a variety of data structures and technology. With access to warehouses of real-time geospatial data as well as business operations data, this role will work with the rest of the Data Science team to develop both predictive and descriptive reporting, visualize data, and automate associated processes. You will report to the Senior Analyst, Data Science and Analytics.

Requirements

Technical
2-3 years experience working as a data scientist/data analyst
An applied understanding of machine learning and other modeling techniques
Experience working with large data sets - geospatial data is a plus
Strong knowledge of R, Python and SQL, particularly Postgres and PostGIS
Experience with data visualization tools
Familiarity with AWS services such as Kinesis, S3, EC2, RDS, and Redshift
Ability to quickly understand new technologies and data environments
Experience with a Unix-based operating system
Non-technical
Strong written and verbal communication skills.
Ability to summarize key findings into clear and actionable recommendations, and to interact with individuals at all levels.
Strong project management skills and ability to plan and prioritize work in a fast-paced environment.
Sense of urgency and an ability to multitask
Team player and willing to pick up extra responsibilities as required
You are enthusiastic, reliable, and hardworking
You take your work seriously but not yourself
Responsibilities
Understand business needs across multiple tiers (for example, executive, operations and logistics, business strategy, customer acquisition and retention)
Build deep knowledge of relevant internal and external data repositories
Translate data into meaningful and insightful information for business users via appropriate tools
Work collaboratively with operations, customer success, marketing, product, finance, and other departments to help answer questions and define KPIs
Prioritize and respond to ad hoc requests for information from the business and productionalize as necessary
Build and automate visualizations and reporting",3.6,"Revel
3.6","Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,TRUE
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),"TSR is a premier National U.S. Staffing company with over 50 years of staffing excellence.Our client, a leading financial company is hiring a Big Data Analyst on a contract basis.Work Location:Weehawken, NJMust have:Data Science / Big Data ExperienceRecent hands on experience w/ Alteryx and PythonUndergraduate degree in Computer Science or Data ScienceExcellent communication skillsHighly preferred: DataRobot experienceYour roleDo you enjoy consulting and working on digital transformation projects? Are you looking for a unique opportunity to contribute to the firm's accelerating digital transformation? Are you passionate about new technologies like: Artificial Intelligence, Machine Learning, Cognitive Automation, Advanced Analytics, Blockchain.Do you have hands on experience w/ Alteryx and Python?Your teamYou will be working in the brand new Digital Practice unit based in Weehawken. We are a dynamic and diverse team of transformation professionals with focus on emerging technology transformation. This unit is part of the broader newly created Group Internal Consulting department.Our practice teams help our firm's business functions implement their digital strategy and accomplish their ambitions in the areas of emerging technologies like Artificial Intelligence (AI), Advanced Data Analytics, Cognitive Automation and Blockchain. The Digital Practice is at the intersection of business, technology and innovative thinking. We accompany functions across all businesses to build a sustainable transformation; combining the power of emerging technologies with a profound understanding of the firm's businesses. The team works in in close collaboration with the different functions, business divisions and external parties to achieve its goals.Your expertise* At least 3 years of hands on consulting experience with a prominent or boutique consulting firm, with recent projects focused on digital transformation and new technologies.* Knowledge and hands on working experience in one or more of the following areas: Artificial Intelligence, Advanced Analytics, Cognitive Automation, Blockchain.* Recent hands on experience w/ Alteryx and Python* Strong data analytical background, attention to detail along with structured organization and planning skills.* Highly driven and motivated with a can-do attitude and eager to learn and to solve complex problems.* A strong written and verbal communicator, able to adapt and network across a global organization to work well with the team and to present well to stakeholders.A plus:* Experience with any of these tools is a plus: DataIKU, Tableau, DataRobot, Workfusion, re:infer, Teneo, AmeliaEducation:* Undergraduate degree: Computer Science, Data Science from a top tier universityPlease contact me directly if you are interested in learning more about this opportunity or to discuss our referral program if you know anyone that may be interested.",3.6,"TSR, Inc.
3.6","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1
104,Data Analyst,$51K-$87K (Glassdoor est.),"The Fund for Public Health in New York City (FPHNYC) is a 501(c)3 non-profit organization that is dedicated to the advancement of the health and well-being of all New Yorkers. To this end, in partnership with the New York City Department of Health and Mental Hygiene (DOHMH), FPHNYC incubates innovative public health initiatives implemented by DOHMH to advance community health throughout the city. It facilitates partnerships, often new and unconventional, between government and the private sector to develop, test, and launch new initiatives. These collaborations speed the execution of demonstration projects, effect expansion of successful pilot programs, and support rapid implementation to meet the public health needs of individuals, families, and communities across New York City (NYC).

PROGRAM OVERVIEW
The Bureau of Alcohol and Drug Use Prevention, Care and Treatment (BADUPCT) works to reduce morbidity and mortality related to alcohol and substance use among New Yorkers through contracting and oversight of prevention, treatment, harm reduction, and recovery and support services; policy analysis and development; epidemiology, surveillance, and evaluation; development and dissemination of treatment and management guidelines; harm reduction initiatives; public and provider outreach and education; and community involvement and interagency collaboration.

The Research and Surveillance unit conducts alcohol- and drug-related surveillance, program evaluation and research, maintains databases, designs research protocols, produces reports, writes scientific articles for peer review journals, and facilitates program and policy development.

With an annual budget of approximately $2 million dollars per year, Strategies To Operationalize the Prevention of Overdose Death (STOP OD) aims to strengthen NYCs response to the opioid overdose epidemic and reduce overdose deaths. Informed by critical new surveillance and in collaboration with cross-sector partners across levels of government, DOHMH will implement focused prevention and response strategies to reach populations that bear the heaviest burden of opioid use and associated morbidity and mortality.

BADUPCT seeks one Data Analyst to work across the Surveillance and Prevention components of the STOP OD project, supporting the collection, organization and analysis of data elements as they are generated.

STOP OD is funded by a one-year (with potential for two additional years) cooperative agreement with the Centers for Disease Control. This position is housed at the New York City Department of Health and Mental Hygiene in Long Island City.

POSITION OVERVIEW
Under the direction of the Senior Evaluation Manager, the Data Analyst will be responsible for supporting data collection, organization, and analysis across all Surveillance and Prevention grant-related activities. The Data Analyst will ensure these processes and systematic and conform to the overall project plan.

RESPONSIBILITIES
• Provide overall support to all data-related grant-funded activities of the STOP OD project, including evaluation
• Contribute to data collection, including quantitative and qualitative data
• Support the organization of data, including assisting with database creation, developing data entry procedures, and preparing preliminary documentation
• Conduct preliminary checks for data accuracy
• Extract, clean, manipulate, organize and analyze data using SAS, R, SQL, Excel and other platforms
• Other duties as assigned

QUALIFICATIONS
• A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.
• Experience in a field related to substance use
• Excellent computer skills, including MS Office; experience with data organization and visualization and effective reporting of program metrics
• Experience cleaning and analyzing data using SAS, R, or SPSS
• Knowledge of relational databases, Transact SQL-based databases, and management systems preferred
• Excellent written, oral and interpersonal skills
• Experience with tools and practices for effective data collection and analysis
• Demonstrated analytical and problem-solving skills
• Excellent organizational skills and attention to detail
• Ability to manage multiple priorities in a fast-paced environment

RESIDENCY REQUIREMENT
New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.

SALARY AND BENEFITS
FPHNYC offers a comprehensive benefits package. The salary range for this position is commensurate with experience

The Fund for Public Health in New York City is an Equal Opportunity Employer and encourages a diverse pool of candidates to apply.",3.0,"Fund for Public Health
3.0","Long Island City, NY","New York, NY",201 to 500 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,-1
117,Data Analyst,$51K-$87K (Glassdoor est.),"For more than a decade, Asembia has been working with specialty pharmacies, manufacturers, prescribers, payers and other industry stakeholders to develop solutions for the high-touch specialty pharmaceutical service model.Through collaborative programs, contracting initiatives, patient support hub services and innovative technology platforms, Asembia is committed to positively impacting the patient journey.

Asembia focuses on the specialty pharmacy segment and offers comprehensive hub services, pharmacy network management, group purchasing (GPO) services, innovative technology platforms and more.As a leading industry voice and advocate, Asembia is committed to bringing strategic channel management solutions, leading-edge products and high-touch services to the specialty pharmacy industry that help our customers optimize patient care and outcomes.

Primary Function:

The Technical Analystis responsible for implementing data solutions for varied data reporting needs and act as a Subject Matter Expert (SME) for technical data product offerings.

Job Scope and Major Responsibilities:

·Follow all policies and internal processes to ensure data programs and files are delivered in accordance with the provisions of the Health Insurance Portability and Accountability Act of 1996 and its implementing regulations, as amended (“HIPAA”).

·Design, develop and validate data reporting solutions with minimum supervision

·Evaluate data and report findings for accuracy, completeness, per the data specifications.

·Responsible for monitoring file/data receipt per expected schedules. Identify/escalate/ resolve nonconformances.

·Meet data reporting schedules to external stakeholders/ parties for designated data programs.

·Seek and adopt best practices in data reporting, make recommendations for data processing improvements. Identify opportunities to improve the process and data accuracy.

·Provide ad hoc data analysis to internal and external parties as requested.

· Successful collaboration with other Asembia team members to attain a common goal.

Qualifications:

·Bachelor’s Degree required. B.A./B.S. Information Systems or similar field preferred.

·Minimum 1 to 3 years of experience working in data analytics or Software Quality assurance – preference towards Prescription / pharmaceutical data.

·Must have a working knowledge of SQL.

·Advance level skills in developing solutions using SQL and SSIS preferred, not required.

·Must be detail oriented with the ability focus on complex processing steps.

·Proven track record with taking ownership in data analytics or Software QA analysis.

·Ability to manage multiple initiatives in a fast paced, dynamic environment.

·Strong self-starter with a sense of ownership.

·Excellent organizational and collaboration skills.

Asembia is committed to Equal Employment Opportunity (EEO) and to compliance with all Federal, State and local laws that prohibit employment discrimination on the basis of race, color, age, natural origin, ethnicity, religion, gender, pregnancy, marital status, sexual orientation, gender identity and expression, citizenship, genetic disposition, disability or veteran's status or any other classification protected by State/Federal laws.",3.6,"Asembia
3.6","Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1,-1
126,Practice Analyst Data,$59K-$85K (Glassdoor est.),"As a Practice Data Analyst in Physicians of University Hospital, you will support GE/IDX application and revenue cycle. This includes phone and hands on support, education and issue resolution, project work and the running of report queries.

Responsibilities Include:
Extracts patient clinical data from medical records or other sources containing patient clinical data.
Maintains and keeps current with new and existing GE/IDX systems modules, use and applications.
Creates and maintains training material and asssist training new hires and existing employees on current and new GE/IDX applications and features.
Writes supporting documentation and procedures for system changes, modifications and day to day operations.
Assist in the development and testing of test scenarios for new features, patches and hardware.
Troubleshoots with internal and external clients to resolver system, hardware or software errors.
Develops and maintains knowledge of department reporting software to create and run standard and ad hoc reports.
Ensure finance runs are accurate and run on pre-described schedules, to include claims, statements and Collection transfers.
High School Diploma or equivalent, required. Bachelors degree, preferred.
Minimum of two (2) years progressive billing experience including IDX experience, required.
Our Culture:

Transforming care, optimizing patient satisfaction and creating better patient outcomes are just some of the things our talented team members are doing at North Shore-LIJ each and every day. As a culture committed to providing our customers with the highest quality service, we stand behind our core values: Patients first; Caring; Excellence; Innovation; Integrity and Teamwork. It is our commitment and our culture that sets us apart from others and is the cornerstone of everything we do. Join an organization whose team members are valued, cared for and offered continuous opportunities to grow. Click on the link to learn more about us: www.northshorelij.com/goals

Please note: North Shore-LIJ is a smoke-free environment. Smoking and the use of tobacco products is strictly prohibited anywhere on campus, including parking lots and outdoor areas on the premises.Free smoking cessation programs and quit medications are offered to team members who wish to quit through the North Shore-LIJ Center for Tobacco Control.",4.0,"Northwell Health
4.0","Manhasset, NY","Lake Success, NY",10000+ employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Catholic Health System, NewYork-Presbyterian Hospital",-1
132,Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),"Job Description
Must be proficient in Advanced Excel – Pivot, dashboarding, macro writing

Must be able to analytical to help Director understand trends in dataset on a weekly basis
Must understand databases to help the team build out certain reports from
Must be an effective communicator – will need to help facilitate and take notes in two key meetings weekly.
Must be a good problem solver. Need help to solve some of our challenges with manual excel files and identify way of automation or improvements
Preferred data analytics degree – help with future initiatives
Preferred knowledge of SharePoint 2010 – help build out Internal Audit SharePoint site and navigate existing SharePoint applications
Preferred knowledge of Tableau – Help IA with dashboarding
Preferred knowledge of Microsoft Power BI Desktop – help with dash boarding
Preferred knowledge of GRC Tools

Summary: Responsible for conducting research and root cause analysis for customers with
the goal of recommending and implementing new processes and solutions to
operational deficiencies. Resolves issues and improves operational performance
on a cross-functional/departmental basis. This is a senior level position
working independently with guidance only in the most complex situations.
Responsibilities: - Investigate service related issues to identify root cause of issues; identify
and communicate business needs assessments as necessary.
Develop forecasting tools using current technology/systems (Access, Excel,
Monarch, etc.)
Translate business requirements and assist IT with the development of
technical specifications.
Develop solutions based on data analysis to increase business efficiency.
Lead or participate in internal and external project workgroup(s) and
presentations.
Conduct User Acceptance Testing (UAT) for projects, implementations, system
fixes and enhancements, etc.
Prepare materials for internal and external audit activities; review audit
findings/reports for accuracy and completeness. If appropriate, formulate
rebuttal and/or corrective action steps.
May coach/mentor less experienced staff, assist in on-boarding of new staff
and/or distribute and follow-up on work assignments.
Perform other relevant tasks as assigned by management.
Qualifications: Education:
Bachelor's degree required.
Experience:
Minimum of seven (7) years' experience in an operational role, or analytical
role
Knowledge:
Knowledge of Healthcare industry required
Knowledge of Project Management methodologies
Requires knowledge of Healthcare firm’s products and services
Requires working knowledge of division operating plan and firm’s operating
model.",3.4,"Asset Staffing
3.4","Newark, NJ","New York, NY",201 to 500 employees,-1,Contract,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
143,DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),"Cactus Holdings/Western Beef Supermarket is looking for a full time Data Entry/Billing Analyst with experience using keyboard and calculator and ability to type 40 wpm to work in their National Food Distributors division. Working knowledge in Excel is required. This is an entry level position with room to grow in a great company. Ability to work efficiently with accuracy and attention to detail is necessary.

Why Choose Western Beef Retail, Inc./Cactus Holdings, Inc.?

Western Beef Retail, Inc./Cactus Holdings, Inc. employs over 1,900 people and owns over 2 Million SQ SF in NYC Real Estate, with 23 Retail store locations and over 1,000 weekly wholesale customers. Our retail locations serve over 800K people weekly largely of Hispanic, Caribbean, West Indian and African American descent.

Western Beef Retail Inc./Cactus Holdings Inc. truly values its heritage. Our origins trace back to 1906 where we began as a series of small, local butcher shops. While the company has certainly grown since then, Western Beef Retail Inc./Cactus Holdings Inc. maintains its proud heritage and strives to remain an integral part of the communities and families of the communities that surround our business and help it grow.

Responsibilities:
Ability to work efficiently with attention to detail
A comfort level with change, the ability to adapt to work-week changes
Ability to work well with others
Working knowledge in Excel required
Daily pull orders from 20+ stores.
Ad HOC
Must work well with others
Must be a great with multi-tasking while retaining great attention to detail.",3.9,"Cactus Holdings
3.9","Queens Village, NY","Mumbai, India",1001 to 5000 employees,2002,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1
