Location,City,State
"New York, NY",New York, NY
"Chicago, IL",Chicago, IL
"San Francisco, CA",San Francisco, CA
"Austin, TX",Austin, TX
"Los Angeles, CA",Los Angeles, CA
"Charlotte, NC",Charlotte, NC
"Houston, TX",Houston, TX
"Dallas, TX",Dallas, TX
"San Diego, CA",San Diego, CA
"Philadelphia, PA",Philadelphia, PA
"Denver, CO",Denver, CO
"San Antonio, TX",San Antonio, TX
"San Jose, CA",San Jose, CA
"Phoenix, AZ",Phoenix, AZ
"Jersey City, NJ",Jersey City, NJ
"Tempe, AZ",Tempe, AZ
"Seattle, WA",Seattle, WA
"Columbus, OH",Columbus, OH
"Irving, TX",Irving, TX
"Plano, TX",Plano, TX
"Salt Lake City, UT",Salt Lake City, UT
"Santa Clara, CA",Santa Clara, CA
"El Segundo, CA",El Segundo, CA
"Jacksonville, FL",Jacksonville, FL
"Norfolk, VA",Norfolk, VA
"San Mateo, CA",San Mateo, CA
"Burbank, CA",Burbank, CA
"Indianapolis, IN",Indianapolis, IN
"Fort Worth, TX",Fort Worth, TX
"Sunnyvale, CA",Sunnyvale, CA
"Mountain View, CA",Mountain View, CA
"Scottsdale, AZ",Scottsdale, AZ
"Palo Alto, CA",Palo Alto, CA
"Brooklyn, NY",Brooklyn, NY
"Cupertino, CA",Cupertino, CA
"Hampton, VA",Hampton, VA
"Long Beach, CA",Long Beach, CA
"Redwood City, CA",Redwood City, CA
"Menlo Park, CA",Menlo Park, CA
"Oakland, CA",Oakland, CA
"Redmond, WA",Redmond, WA
"Wilmington, DE",Wilmington, DE
"Richardson, TX",Richardson, TX
"Centennial, CO",Centennial, CO
"Downers Grove, IL",Downers Grove, IL
"Foster City, CA",Foster City, CA
"Lake Success, NY",Lake Success, NY
"Santa Monica, CA",Santa Monica, CA
"Arlington, TX",Arlington, TX
"Glendale, CA",Glendale, CA
