name,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all
New York Mills,16.86,17.0,16.0,17.78,1015,82,1.5,270,1
Chicago,26.09,26.77,25.56,26.67,1014,78,5.7,200,75
San Francisco,13.52,13.23,12.22,14.44,1011,94,1.55,243,0
Austin,27.41,29.12,26.11,28.33,1019,74,4.54,186,40
East Los Angeles,16.28,16.4,14.44,17.22,1014,82,1.26,220,90
Charlotte,26.94,29.02,24.44,28.33,1019,61,1.5,150,20
Houston,29.45,33.45,27.78,30.56,1019,83,4.6,170,1
Lake Dallas,28.44,29.16,27.78,29.44,1018,65,5.1,200,1
San Diego,25.0,29.95,25.0,25.0,1017,100,2.1,150,40
Philadelphia,24.83,27.57,24.0,25.56,1016,83,2.6,230,90
Denver,27.43,30.86,25.56,28.89,1018,74,2.1,300,1
San Antonio,27.27,28.99,26.11,28.0,1018,78,5.1,160,20
San Jose,15.9,15.73,15.0,17.0,1013,82,1.5,350,40
Phoenix,30.73,27.82,30.56,31.0,1011,20,2.6,120,40
Jersey City,28.32,33.01,26.0,30.56,1018,83,2.6,250,1
Tempe,29.33,26.2,27.22,31.0,1011,20,2.6,120,40
Seattle,13.79,13.0,12.22,15.0,1021,82,1.5,140,1
Columbus,26.05,28.79,24.44,27.22,1018,74,2.1,160,40
Irving,28.27,28.99,27.78,29.44,1018,69,5.7,180,20
Plano,28.31,28.7,27.22,29.44,1018,69,6.2,200,5
Salt Lake City,20.08,15.84,17.78,23.0,1019,25,3.1,100,75
Santa Clara,15.95,15.79,15.0,17.0,1013,82,1.5,350,40
El Segundo,16.59,17.06,16.0,17.22,1014,82,0.89,259,90
Jacksonville,28.56,32.08,26.67,29.44,1020,70,2.1,300,20
Norfolk,29.21,34.03,27.78,30.56,1019,74,1.5,90,1
San Mateo,15.42,14.33,13.0,17.0,1013,82,2.6,300,90
Burbank,17.14,18.35,15.56,18.89,1014,87,0.55,159,1
Indianapolis,21.69,23.9,21.0,22.78,1018,94,2.6,170,90
Fort Worth,27.55,27.12,26.11,29.0,1017,74,7.7,200,1
Sunnyvale,16.1,15.93,15.0,17.22,1013,88,2.1,360,30
Mountain View,16.14,15.99,15.0,17.22,1013,88,2.1,360,32
Scottsdale,29.78,28.31,27.78,31.67,1013,21,0.52,8,1
Palo Alto,16.23,16.11,15.0,17.22,1013,88,2.1,360,38
Brooklyn,27.77,32.13,26.0,29.0,1018,83,2.6,250,1
Cupertino,16.02,15.89,15.0,17.22,1013,82,1.5,350,40
Hampton,29.39,34.96,27.78,31.11,1019,79,1.53,91,1
Long Beach,16.77,17.25,16.11,17.22,1014,88,1.5,0,90
Redwood City,16.05,16.29,14.44,17.22,1013,88,1.5,0,90
Menlo Park,16.22,16.51,15.0,17.22,1013,88,1.5,0,90
Oakland,14.01,12.86,12.22,16.11,1013,82,2.1,320,75
Redmond,13.16,13.23,10.56,16.11,1019,91,0.66,15,0
Wilmington,28.49,31.79,27.78,29.44,1019,74,3.1,250,1
Richardson,28.31,28.7,27.22,29.44,1018,69,6.2,200,5
Centennial,17.39,15.08,16.11,18.89,1023,59,3.1,290,40
Downers Grove,25.29,28.53,24.44,26.11,1012,86,2.68,194,91
Foster City,15.82,15.98,14.44,17.0,1013,88,1.5,0,90
Lake Success,28.66,31.62,27.0,30.0,1017,62,1.5,310,1
Santa Monica,16.61,17.74,16.0,17.22,1014,87,0.41,206,90
Arlington,27.66,29.11,26.67,28.33,1017,74,5.1,160,1
