weather,visibility,dt,id,name,coord.lon,coord.lat,sys.country,sys.timezone,sys.sunrise,sys.sunset,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,1597029316,5039192,New York Mills,-95.38,46.52,US,-18000,1596971582,1597023657,20.22,22.2,18.33,22.0,1011,100,2.6,300,90
"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",10000,1597029308,4887398,Chicago,-87.65,41.85,US,-18000,1596970389,1597021140,23.78,24.95,22.78,25.0,1016,83,4.1,70,90
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,1597029333,5391959,San Francisco,-122.42,37.77,US,-25200,1596979237,1597028980,15.68,10.81,13.89,18.0,1012,77,7.7,310,20
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029301,4671654,Austin,-97.74,30.27,US,-18000,1596974085,1597022286,30.58,29.65,29.44,32.0,1017,46,5.1,180,0
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029332,5344994,East Los Angeles,-118.17,34.02,US,-25200,1596978622,1597027555,21.32,21.18,17.78,24.0,1012,68,2.6,260,1
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,1597029295,4460243,Charlotte,-80.84,35.23,US,-14400,1596969532,1597018729,23.23,25.49,21.67,24.44,1020,78,1.5,180,75
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029302,4699066,Houston,-95.36,29.76,US,-18000,1596973562,1597021668,29.03,32.1,28.0,30.0,1018,78,4.6,170,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029302,4704482,Lake Dallas,-97.03,33.12,US,-18000,1596973638,1597022393,32.26,33.04,31.67,32.78,1015,46,3.6,140,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029303,4726311,San Diego,-98.24,27.76,US,-18000,1596974435,1597022176,28.5,31.1,28.0,29.0,1016,74,4.1,140,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029323,5131095,Philadelphia,-75.71,44.15,US,-14400,1596967209,1597018590,22.67,22.52,22.22,23.0,1016,78,4.6,240,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029325,5186794,Denver,-76.14,40.23,US,-14400,1596967830,1597018174,24.4,26.79,22.78,26.0,1019,74,1.5,170,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029303,4726206,San Antonio,-98.49,29.42,US,-18000,1596974345,1597022387,30.25,28.72,29.44,31.67,1016,58,8.2,140,1
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,1597029334,5392171,San Jose,-121.89,37.34,US,-25200,1596979158,1597028804,24.38,22.43,22.78,26.67,1011,56,5.1,300,20
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029327,5308655,Phoenix,-112.07,33.45,US,-25200,1596977216,1597026034,39.12,37.81,38.33,40.0,1006,13,0.45,267,0
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,1597029321,5099836,Jersey City,-74.08,40.73,US,-14400,1596967273,1597017743,26.6,30.07,25.56,27.22,1018,78,2.1,250,20
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029327,5317058,Tempe,-111.91,33.41,US,-25200,1596977181,1597025991,38.74,34.84,37.22,40.0,1009,10,3.1,260,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,1597029338,5809844,Seattle,-122.33,47.61,US,-25200,1596977882,1597030292,20.88,18.66,18.89,23.0,1023,40,2.1,320,1
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,1597029296,4509177,Columbus,-83.0,39.96,US,-14400,1596969511,1597019786,23.06,24.71,22.22,23.89,1019,73,1.6,225,1
