Location,ID,Job Title,Salary Estimate,Job Description,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
"New York, NY",310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
"Chicago, IL",130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
"San Francisco, CA",119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
"Austin, TX",81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
"Los Angeles, CA",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
"Charlotte, NC",78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
"Houston, TX",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
"Dallas, TX",66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
"San Diego, CA",62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
"Philadelphia, PA",56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
"Denver, CO",47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
"San Antonio, TX",45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
"San Jose, CA",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
"Phoenix, AZ",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"Jersey City, NJ",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Tempe, AZ",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Seattle, WA",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Columbus, OH",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"Irving, TX",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"Plano, TX",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"Salt Lake City, UT",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"Santa Clara, CA",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"El Segundo, CA",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"Jacksonville, FL",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"Norfolk, VA",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"San Mateo, CA",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Burbank, CA",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Indianapolis, IN",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Fort Worth, TX",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Sunnyvale, CA",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Mountain View, CA",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"Scottsdale, AZ",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"Palo Alto, CA",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"Brooklyn, NY",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"Cupertino, CA",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"Hampton, VA",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"Long Beach, CA",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"Redwood City, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"Menlo Park, CA",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"Oakland, CA",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"Redmond, WA",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
