ID,address,price,info,city,state,,
1,"601 Melville Ave, Palo Alto, CA 94301
												","17,500,000","
5 bds
6 ba
7,823 sqft
",Palo Alto,CA,,
2,"1394 San Mateo Dr, Menlo Park, CA 94025
												","15,650,000","
7 bds
7 ba
7,459 sqft
",Menlo Park,CA,,
3,"1820 S Lakeline Dr, Salt Lake City, UT
													84109","8,750,000","
37.03 acres lot

",Salt Lake City,UT,,
4,"1835 White Oak Dr, Menlo Park, CA 94025
												","8,495,000","
5 bds
7 ba
5,555 sqft
",Menlo Park,CA,,
5,"840 Magnolia St, Menlo Park, CA 94025
												","7,995,000","
5 bds
7 ba
5,600 sqft
",Menlo Park,CA,,
6,"1780 Oakdell Dr, Menlo Park, CA 94025
												","7,995,000","
5 bds
6 ba
5,226 sqft
",Menlo Park,CA,,
7,"1033 Amarillo Ave, Palo Alto, CA 94303
												","7,988,000","
7 bds
4 ba
3,276 sqft
",Palo Alto,CA,,
8,"433 9th St, Santa Monica, CA 90402
												","7,965,000","
5 bds
7 ba
6,150 sqft
",Santa Monica,CA,,
9,"939 University Ave, Palo Alto, CA 94301
												","6,990,000","
6 bds
6 ba
4,002 sqft
",Palo Alto,CA,,
10,"1024 Centinela Ave, Santa Monica, CA
													90403","6,500,000","
4 bds
6 ba
5,445 sqft
",Santa Monica,CA,,
11,"10234 Scenic Blvd, Cupertino, CA 95014
												","6,399,888","
2 bds
1 ba
846 sqft
",Cupertino,CA,,
12,"17 Lake Rd, Great Neck, NY 11020
												","6,380,000","
6 bds
8 ba
40,075 sqft
",Lake Success,NY,,
13,"900 Olive St, Menlo Park, CA 94025
												","6,350,000","
5 bds
6 ba
5,610 sqft
",Menlo Park,CA,,
14,"2808 Bryant St, Palo Alto, CA 94306
												","6,288,000","
6 bds
8 ba
5,058 sqft
",Palo Alto,CA,,
15,"724 San Vicente Blvd, Santa Monica, CA
												","6,150,000","
5 bds
6 ba
4,665 sqft
",Santa Monica,CA,,
16,"1570 University Ave, Palo Alto, CA 94301
												","6,100,000","
4 bds
3 ba
3,057 sqft
",Palo Alto,CA,,
17,"213 Pacific Ave, Jersey City, NJ 07304
												","5,999,000","
0.63 acres lot
",Jersey City,NJ,,
18,"128 Windsor Gate, Great Neck, NY 11020
												","5,988,000","
6 bds
6 ba
8,687 sqft
",Lake Success,NY,,
19,"515 Race St, Denver, CO 80206","5,975,000","
6 bds
7 ba
8,665 sqft
",Denver,CO,,
20,"4051 El Cerrito Rd, Palo Alto, CA 94306
												","5,595,000","
5 bds
6 ba
4,002 sqft
",Palo Alto,CA,,
