,Location,City
0,"New York, NY",New York
1,"Chicago, IL",Chicago
2,"San Francisco, CA",San Francisco
3,"Austin, TX",Austin
4,"Los Angeles, CA",Los Angeles
5,"Charlotte, NC",Charlotte
6,"Houston, TX",Houston
7,"Dallas, TX",Dallas
8,"San Diego, CA",San Diego
9,"Philadelphia, PA",Philadelphia
10,"Denver, CO",Denver
11,"San Antonio, TX",San Antonio
12,"San Jose, CA",San Jose
13,"Phoenix, AZ",Phoenix
14,"Jersey City, NJ",Jersey City
15,"Tempe, AZ",Tempe
16,"Seattle, WA",Seattle
17,"Columbus, OH",Columbus
18,"Irving, TX",Irving
19,"Plano, TX",Plano
20,"Salt Lake City, UT",Salt Lake City
21,"Santa Clara, CA",Santa Clara
22,"El Segundo, CA",El Segundo
23,"Jacksonville, FL",Jacksonville
24,"Norfolk, VA",Norfolk
25,"San Mateo, CA",San Mateo
26,"Burbank, CA",Burbank
27,"Indianapolis, IN",Indianapolis
28,"Fort Worth, TX",Fort Worth
29,"Sunnyvale, CA",Sunnyvale
30,"Mountain View, CA",Mountain View
31,"Scottsdale, AZ",Scottsdale
32,"Palo Alto, CA",Palo Alto
33,"Brooklyn, NY",Brooklyn
34,"Cupertino, CA",Cupertino
35,"Hampton, VA",Hampton
36,"Long Beach, CA",Long Beach
37,"Redwood City, CA",Redwood City
38,"Menlo Park, CA",Menlo Park
39,"Oakland, CA",Oakland
40,"Redmond, WA",Redmond
41,"Wilmington, DE",Wilmington
42,"Richardson, TX",Richardson
43,"Centennial, CO",Centennial
44,"Downers Grove, IL",Downers Grove
45,"Foster City, CA",Foster City
46,"Lake Success, NY",Lake Success
47,"Santa Monica, CA",Santa Monica
48,"Arlington, TX",Arlington
49,"Glendale, CA",Glendale
