,location,max_price,min_price,mean_price
0,"Jersey City, NJ",5999000,229999,702414
1,"Plano, TX",3185000,249000,537150
2,"Lake Success, NY",6380000,878000,2424332
3,"Menlo Park, CA",15650000,998000,3375297
4,"Burbank, CA",3450000,5500,1071951
5,"Foster City, CA",2500000,842000,1518459
6,"Salt Lake City, UT",8750000,200000,645230
7,"Downers Grove, IL",1649000,129900,477770
8,"Long Beach, CA",1649000,229900,689480
9,"San Francisco, CA",4995000,605000,1669499
10,"New York, NY",4500000,240000,1219741
11,"Irving, TX",1195000,120000,390262
12,"Redmond, WA",2275000,319950,984120
13,"San Diego, CA",4750000,105000,905122
14,"Denver, CO",5975000,139000,771771
15,"Scottsdale, AZ",4195000,114000,979804
16,"Phoenix, AZ",1750000,180000,550171
17,"Jacksonville, FL",895000,59000,228779
18,"Columbus, OH",515000,35000,199702
19,"Santa Clara, CA",2383000,699800,1433202
20,"Indianapolis, IN",685000,50000,223828
21,"Redwood City, CA",3900000,260000,1605501
22,"Centennial, CO",2225000,279500,561607
23,"Norfolk, VA",599999,85000,269963
24,"Dallas, TX",1125000,27000,367635
25,"Santa Monica, CA",7965000,360000,2079475
26,"Charlotte, NC",3000000,130000,377340
27,"Wilmington, DE",999900,13000,283956
28,"Fort Worth, TX",672500,64995,275788
29,"Mountain View, CA",2798000,199900,1532041
30,"Brooklyn, NY",3100000,240000,1305287
31,"Tempe, AZ",2500000,137000,430172
32,"Los Angeles, CA",4750000,130000,1171198
33,"El-Segundo, CA",3785000,549000,1589426
34,"Sunnyvale, CA",2688888,205000,1557275
35,"Houston, TX",1860000,97000,364392
36,"San Antonio, TX",579990,45000,260799
37,"Palo Alto, CA",17500000,898000,3456840
38,"Richardson, TX",1649000,115000,421392
39,"San Mateo, CA",2900000,495000,1388681
40,"Philadelphia, PA",875000,49900,289822
41,"Hampton, VA",639000,68650,229537
42,"Arlington, TX",675000,72059,294823
43,"Austin, TX",1999900,100000,505382
44,"Seattle, WA",3250000,249900,1062327
45,"San Jose, CA",2298000,155000,1154721
46,"Oakland, CA",1950000,349000,825818
47,"Chicago, IL",949900,5000,302157
48,"Cupertino, CA",6399888,887000,2197417
